	lower	Forecast	upper
2021-04-01	383776.51386007096	385006.152552657	386235.79124524305
2021-05-01	383113.1860890555	385572.68268069735	388032.1792723393
2021-06-01	387395.20901074837	391091.3589020113	394787.50879327423
2021-07-01	380170.82666791294	385111.30208524136	390051.77750256984
2021-08-01	378931.9587569264	385120.70541677764	391309.45207662875
2021-09-01	380318.62964527804	387768.1423164331	395217.65498758794
2021-10-01	382986.42789629736	391718.18881280074	400449.9497293041
2021-11-01	391592.2677988944	401631.9241177179	411671.58043654135
2021-12-01	397403.3262367723	408743.31533470633	420083.30443264026
2022-01-01	390055.63214100845	402712.613709761	415369.5952785136
2022-02-01	392158.9428185057	406134.6705098356	420110.3982011655
2022-03-01	394435.5742202983	409737.0626412405	425038.55106218276
2022-04-01	391646.18140120176	408184.32312176493	424722.4648423282
2022-05-01	388653.7911682085	406405.7887155291	424157.7862628497
2022-06-01	393703.25796725	412757.7803583794	431812.302749509
2022-07-01	385865.4354958507	406251.6371912782	426637.8388867058
2022-08-01	384476.35524218384	406188.86568339827	427901.37612461287
2022-09-01	386481.2156325917	409557.73833240615	432634.2610322207
2022-10-01	388526.8381874058	413014.5025368365	437502.16688626737
2022-11-01	397394.922502873	423353.3526617174	449311.7828205619
2022-12-01	404309.9449991406	431695.1900701952	459080.43514124973
2023-01-01	396139.1434326574	424939.3662665505	453739.5891004436
2023-02-01	397830.81566562736	428035.9327647462	458241.0498638651
2023-03-01	400232.68861936283	431864.18221775204	463495.6758161413
2023-04-01	397030.65660854353	429903.4068424205	462776.1570762975
2023-05-01	394248.57577322144	428330.7977044588	462413.0196356963
2023-06-01	399475.7468824037	434945.764974219	470415.7830660345
2023-07-01	391233.63137587724	428127.83390226454	465022.036428652
2023-08-01	390036.02761972137	428349.5920383441	466663.156456967
2023-09-01	392452.8776161079	432228.98760152515	472005.09758694255
2023-10-01	393695.9687681164	435025.5950053132	476355.2212425101
2023-11-01	402979.98524579033	445972.51176321856	488965.0382806467
2023-12-01	410854.24093981105	455396.44759579655	499938.654251782
2024-01-01	401885.4665298493	447941.40346333775	493997.3403968261
2024-02-01	403494.1265951881	451061.9305511859	498629.7345071835
2024-03-01	405998.2163392333	455098.7119323755	504199.2075255175
2024-04-01	402389.4515127097	452744.35612953024	503099.26074635057
2024-05-01	399818.17210079666	451375.7530144125	502933.3339280282
2024-06-01	404938.64195552404	457964.1389944455	510989.63603336696
2024-07-01	396378.154012325	450921.10783873673	505464.0616651484
2024-08-01	395459.6650214487	451514.4858703698	507569.30671929073
2024-09-01	398214.5696556792	455843.73137101496	513472.8930863505
2024-10-01	398552.32801232743	457888.23130186315	517224.13459139876
2024-11-01	408074.34706095647	469248.2966001283	530422.2461392999
2024-12-01	417033.7563887149	479893.95169715636	542754.1470055976
2025-01-01	407436.45556211646	471950.67328876053	536464.8910154046
2025-02-01	409003.7745699686	475141.9834284468	541280.1922869249
2025-03-01	411578.9618751905	479361.10965425865	547143.2574333266
2025-04-01	407509.0339391064	476563.6752756149	545618.3166121233
2025-05-01	405155.2271506862	475405.4205737202	545655.6139967539
2025-06-01	410305.49905897316	482128.38929989794	553951.2795408225
2025-07-01	401802.97832786484	475250.7365265031	548698.4947251412
2025-08-01	401394.04482690775	476451.7649433102	551509.4850597124
2025-09-01	403777.56206860876	480511.8828696077	557246.2036706065
2025-10-01	402314.9921343346	480898.3195084618	559481.6468825889
2025-11-01	411940.80047235615	492542.14260786085	573143.4847433654
2025-12-01	423232.8976942037	505642.1451897411	588051.3926852784
