	lower	Forecast	upper
2021-04-01	49501.830328143435	49551.23119396579	49600.63205978814
2021-05-01	49516.06063953216	49614.65399884872	49713.34541628236
2021-06-01	49673.697066681445	49821.933305534454	49970.46416110316
2021-07-01	49708.79798836613	49906.70468080925	50105.2017321135
2021-08-01	49566.91294380763	49813.886900824866	50061.844341759
2021-09-01	49493.693240586326	49789.89014594035	50087.562746283074
2021-10-01	49579.46647270842	49925.81861870115	50274.242593070136
2021-11-01	49768.50187555805	50166.02061102506	50566.31480852013
2021-12-01	50297.8910095378	50749.62218710984	51204.956033318325
2022-01-01	50316.03772272328	50818.52286101665	51325.51978875365
2022-02-01	50363.57305956235	50917.156617394125	51476.26633370732
2022-03-01	50538.804781311	51145.02695252728	51757.908234677205
2022-04-01	50608.47409591092	51266.1697390008	51931.74727839113
2022-05-01	50752.07480439193	51462.34587520744	52181.837900825085
2022-06-01	51066.2993545548	51832.1311458151	52608.67160080337
2022-07-01	51233.433793014185	52053.36484193614	52885.585511755366
2022-08-01	51222.96829277863	52094.51326432165	52980.00109177248
2022-09-01	51266.52369287781	52190.70277574388	53130.60069634102
2022-10-01	51452.44647127649	52432.044987058325	53429.29471597599
2022-11-01	51729.482938976646	52766.755982787516	53823.76856211417
2022-12-01	52299.82156693219	53401.1435473063	54524.53054787901
2023-01-01	52272.00598773843	53425.94162407034	54604.168830972376
2023-02-01	52218.31561818333	53424.25380314982	54656.80455849972
2023-03-01	52346.71624379886	53608.82743751472	54900.071749250754
2023-04-01	52368.11336748131	53683.81718982645	55031.22289461125
2023-05-01	52491.57501736446	53863.49142811802	55269.850504014925
2023-06-01	52818.848894425646	54252.88844937178	55724.3827801446
2023-07-01	52989.46855118024	54482.14192723084	56015.32041890967
2023-08-01	53007.86358354099	54555.26632134323	56146.23934308869
2023-09-01	53051.55671667686	54654.567913678424	56304.35428924308
2023-10-01	53273.631273305095	54937.89148528318	56652.41526031443
2023-11-01	53622.49928255047	55352.598941581564	57136.72055294887
2023-12-01	54253.52123856011	56059.16699631203	57923.027966943635
2024-01-01	54196.50735781412	56056.08665632177	57977.532543981244
2024-02-01	54149.96501650019	56063.761140904884	58043.19700566633
2024-03-01	54324.52448293979	56300.324247069584	58345.918016213895
2024-04-01	54377.9440235769	56411.43705642204	58518.84395047672
2024-05-01	54523.67299653996	56618.42619771987	58791.461262350866
2024-06-01	54908.38813002892	57074.227060689176	59323.22224043286
2024-07-01	55065.898358271115	57294.75420580974	59611.48153762685
2024-08-01	55079.796378361745	57366.22404938021	59745.15575109716
2024-09-01	55197.742313435556	57546.20082555207	59992.100119834184
2024-10-01	55412.35884528586	57827.38037200629	60345.103624834264
2024-11-01	55759.42261272227	58247.390184625736	60843.737542651514
2024-12-01	56427.41326418462	59003.263625617576	61693.96967680135
2025-01-01	56382.92662008423	59015.5344884306	61768.26929969507
2025-02-01	56314.39102791195	59002.56181214302	61816.19542690594
2025-03-01	56490.88426890052	59246.23846432554	62133.05268943599
2025-04-01	56523.71058184624	59339.34232933384	62292.22859767209
2025-05-01	56640.053808213226	59520.189866483524	62543.70598248985
2025-06-01	57012.31435224956	59970.584978283325	63079.193041095
2025-07-01	57199.5330563667	60227.20806785287	63411.90231889362
2025-08-01	57222.62862040567	60311.45240120565	63563.6963849888
2025-09-01	57247.94815674813	60398.194671106234	63718.41063647254
2025-10-01	57452.93630367049	60674.72944296699	64073.72659855278
2025-11-01	57770.06506581779	61070.29798539438	64555.50896188682
2025-12-01	58417.40388041916	61815.49490201124	65407.5851626554
