	lower	Forecast	upper
2021-04-01	4232.233676863143	4241.530827117684	4250.827977372225
2021-05-01	4215.050996820046	4233.4892023820485	4251.967646574175
2021-06-01	4201.046617034598	4228.601290169315	4256.276186615669
2021-07-01	4192.937151198064	4229.611431743069	4266.525769809832
2021-08-01	4176.265565332635	4221.965708216873	4268.0650476139945
2021-09-01	4183.9668021706975	4238.9151796451915	4294.463611036879
2021-10-01	4168.562315999602	4232.523622807707	4297.324294544888
2021-11-01	4151.760438210788	4224.677960142909	4298.713600297103
2021-12-01	4245.43187696447	4329.17279596141	4414.378749394317
2022-01-01	4208.322475807012	4300.741412753646	4394.982989851026
2022-02-01	4178.862599945372	4279.976132089209	4383.308946081034
2022-03-01	4225.030569206906	4336.555928731483	4450.7738997562965
2022-04-01	4240.130422838652	4361.416188099957	4485.89733908336
2022-05-01	4251.074728769648	4382.080046451564	4516.8259478092805
2022-06-01	4217.950712693187	4357.434568775128	4501.214057182015
2022-07-01	4203.440856459889	4351.902138135155	4505.268384976112
2022-08-01	4208.148754786174	4366.215804841141	4529.858631567305
2022-09-01	4199.056403282475	4366.265379899519	4539.748952851442
2022-10-01	4183.7055094580455	4359.80117127782	4542.90325080747
2022-11-01	4168.368659787425	4353.319270300549	4546.048613438265
2022-12-01	4267.780325002317	4466.606254528137	4674.234446322571
2023-01-01	4228.229870261937	4434.915613073556	4651.224066936103
2023-02-01	4200.651269857256	4415.615874009804	4641.079516067913
2023-03-01	4246.770086546581	4473.683744261974	4712.1909434609215
2023-04-01	4261.770028791827	4499.142948223346	4749.180136685911
2023-05-01	4275.091446316945	4522.911733696514	4784.5146184280775
2023-06-01	4236.811051416105	4492.220406410989	4762.423538823281
2023-07-01	4223.956942919102	4488.341038724994	4768.646892406673
2023-08-01	4200.552111462304	4473.209153933666	4762.916033797726
2023-09-01	4173.707955936275	4454.336375611269	4753.163903248868
2023-10-01	4150.410416304	4439.164217824807	4747.315931333584
2023-11-01	4138.145034248237	4435.725363737896	4753.990166062679
2023-12-01	4183.534391891243	4494.02155988201	4826.803830208998
2024-01-01	4167.76250513315	4486.83821532291	4829.570294558365
2024-02-01	4142.333137882071	4469.2030223644	4821.07309141857
2024-03-01	4184.289307224501	4524.174880591597	4890.8420388842815
2024-04-01	4198.708634057108	4549.533813094234	4928.816241410267
2024-05-01	4211.8342452031475	4573.570465645381	4965.48928356478
2024-06-01	4174.371564446363	4542.8075262268885	4942.857282234207
2024-07-01	4161.146160219744	4538.273253003788	4948.6502895520725
2024-08-01	4138.807115151693	4523.7557409039955	4943.556497859988
2024-09-01	4113.071290041172	4505.450222797654	4934.28788529348
2024-10-01	4103.846295729852	4505.149534675091	4944.696127296285
2024-11-01	4094.331269241703	4504.526030900921	4954.792044851476
2024-12-01	4135.863719978562	4560.012618335788	5026.597069226236
2025-01-01	4118.939237710192	4551.259074697593	5027.868118409068
2025-02-01	4088.1413116796302	4527.109907366595	5012.106092979311
2025-03-01	4105.659808373935	4556.339735755032	5055.350752787674
2025-04-01	4129.0072565020055	4592.089325312701	5105.932525191064
2025-05-01	4140.60734999029	4614.896804392193	5142.307000331412
2025-06-01	4103.036805327538	4583.031965421615	5117.953667914478
2025-07-01	4088.6327034929136	4576.889059651953	5122.200946922064
2025-08-01	4066.034305075145	4561.521778513281	5116.115588628107
2025-09-01	4039.548808971849	4541.712759770418	5105.006312836996
2025-10-01	4033.980903682577	4545.334044120432	5120.183630127429
2025-11-01	4023.440259888196	4543.365047201665	5129.126448763724
2025-12-01	4068.788472195178	4604.448607031693	5209.233775077541
