	lower	Forecast	upper
2021-04-01	155806.89516524272	156333.3469881273	156859.79881101186
2021-05-01	156608.56799902592	157661.56549483928	158714.5629906526
2021-06-01	150973.22851435503	152555.68103446704	154138.13355457902
2021-07-01	151949.59593514525	154064.78823110255	156179.98052705982
2021-08-01	152082.34458748577	154731.96596008382	157381.58733268184
2021-09-01	152682.01830164334	155871.41820340097	159060.81810515854
2021-10-01	152296.65270013904	156035.02843538686	159773.40417063466
2021-11-01	150741.77858295786	155040.11060686613	159338.44263077434
2021-12-01	152328.9209252468	157183.97141129096	162039.0218973351
2022-01-01	151616.0808952476	157034.9824467861	162453.88399832457
2022-02-01	152374.23398684457	158357.73740423092	164341.24082161725
2022-03-01	153519.3919363611	160070.50042100938	166621.60890565766
2022-04-01	154119.6478871142	161200.21139606118	168280.7749050081
2022-05-01	153575.30735377374	161175.56548242358	168775.82361107337
2022-06-01	148780.45967799067	156938.37476921832	165096.2898604459
2022-07-01	150388.29145093274	159116.34556061547	167844.39967029815
2022-08-01	152748.47450757798	162044.36830963314	171340.26211168824
2022-09-01	153760.34087634628	163640.21657837456	173520.09228040278
2022-10-01	153850.05237047584	164334.08773197813	174818.12309348036
2022-11-01	153094.97037362307	164208.6926066191	175322.41483961503
2022-12-01	155239.38228866723	166963.97445929685	178688.56662992635
2023-01-01	155041.97539922447	167372.3696051014	179702.7638109782
2023-02-01	154263.88863390195	167195.76777299348	180127.64691208486
2023-03-01	155714.02658493235	169256.5879615691	182799.1493382057
2023-04-01	156669.61556522676	170743.60281709017	184817.59006895343
2023-05-01	157285.24396559625	171877.04883627873	186468.85370696106
2023-06-01	150734.0899543939	165920.05945484413	181106.02895529423
2023-07-01	151403.70021888267	167199.41345643625	182995.12669398964
2023-08-01	153116.64344140686	169520.03571509157	185923.42798877612
2023-09-01	153654.43466250238	170683.99443102366	187713.5541995448
2023-10-01	153849.2257940395	171543.9008257363	189238.57585743294
2023-11-01	152858.13671756402	171264.7581844872	189671.3796514102
2023-12-01	155115.7957411678	174185.89009549315	193255.98444981832
2024-01-01	154088.75015194426	173806.92598642458	193525.10182090476
2024-02-01	154522.58032124102	174888.0399105007	195253.49949976025
2024-03-01	155742.14918858808	176763.80828682517	197785.46738506213
2024-04-01	156698.53653573277	178257.2525118479	199815.96848796293
2024-05-01	155293.45183007658	177367.07607364093	199440.70031720513
2024-06-01	149864.54683441817	172566.63789890174	195268.72896338522
2024-07-01	150960.9944292843	174312.76242467406	197664.53042006373
2024-08-01	152891.4354447482	176890.48719491737	200889.53894508642
2024-09-01	153157.41704628116	177830.49981382387	202503.5825813665
2024-10-01	152878.00285067313	178281.80206228024	203685.60127388727
2024-11-01	151752.86640217702	177943.59823431843	204134.33006645972
2024-12-01	153464.85613516526	180377.5294322393	207290.20272931323
2025-01-01	152033.04701357736	179653.8658190881	207274.6846245987
2025-02-01	153451.25307156457	181767.35992945792	210083.46678735112
2025-03-01	156787.40264225428	185807.33790655158	214827.2731708487
2025-04-01	157647.35580731241	187212.09057813344	216776.82534895433
2025-05-01	156210.75640093704	186287.34931277108	216363.94222460498
2025-06-01	150500.974340496	181250.89439437218	212000.81444824822
2025-07-01	150658.5324092479	182104.1159156835	213549.69942211892
2025-08-01	152941.4254753574	185076.29063134742	217211.1557873373
2025-09-01	153251.19060820568	186103.86782718397	218956.54504616212
2025-10-01	152738.1083763477	186382.4107180698	220026.71305979174
2025-11-01	152195.69542247706	186703.98127101353	221212.26711954988
2025-12-01	154010.44085231534	189292.75494030997	224575.06902830442
