	lower	Forecast	upper
2021-04-01	3800.653312685928	3818.1860337764465	3835.7187548669654
2021-05-01	3779.384365669271	3814.822658612345	3850.426293748769
2021-06-01	3770.3127791494317	3823.6858991594145	3877.560322752545
2021-07-01	3694.3548188102936	3764.7255855774006	3836.0968389727536
2021-08-01	3709.3319818624796	3797.77586524049	3887.8987306885347
2021-09-01	3697.2782870735014	3803.3961140023607	3912.0399281396462
2021-10-01	3706.037275626722	3830.422749913052	3958.3694620895153
2021-11-01	3718.504203549235	3861.477372745922	4009.237567270303
2021-12-01	3715.3593544224514	3876.49094351009	4043.8044342436697
2022-01-01	3531.286446772194	3702.794622154983	3881.7632689172738
2022-02-01	3567.424267671789	3758.212141948901	3958.2308773406317
2022-03-01	3558.331656221975	3766.416769056297	3985.6021562606848
2022-04-01	3580.804006586349	3807.9200508701383	4048.2685176043806
2022-05-01	3623.573183649881	3871.2968073773377	4134.669884243629
2022-06-01	3656.4794847126395	3924.7383524571164	4211.276813264719
2022-07-01	3727.5198708160306	4019.550979625909	4332.926946382964
2022-08-01	3703.8541603754243	4013.028318089782	4346.373960808821
2022-09-01	3751.1782876706	4083.2949341019876	4443.047106627197
2022-10-01	3801.982884848849	4157.951668978436	4545.340583599543
2022-11-01	3816.946184743945	4194.058331764555	4606.392994762938
2022-12-01	3840.6086861557665	4239.92644124558	4678.591627485299
2023-01-01	3684.4656258227255	4087.6165962769232	4532.667748540022
2023-02-01	3545.002882473873	3952.2276791192817	4403.976699886468
2023-03-01	3356.2697956075913	3760.515211398192	4211.189540983169
2023-04-01	3445.293233754973	3877.9499546274856	4362.506900545579
2023-05-01	3440.2375208176204	3890.486819734422	4397.115295388168
2023-06-01	3425.8949824445804	3892.6500116684597	4420.336885432975
2023-07-01	3349.9904258618685	3824.812263561789	4364.206780939152
2023-08-01	3360.0662084387973	3854.397495102092	4418.59551820223
2023-09-01	3373.4196373026653	3887.953114727706	4477.9701595138895
2023-10-01	3279.9742707908426	3798.687470148104	4396.387775308968
2023-11-01	3314.5998305420344	3856.837461589454	4484.575698217328
2023-12-01	3381.5799208094877	3953.0437450795357	4617.682814722316
2024-01-01	3405.83055576182	4000.0970753467354	4694.496743937384
2024-02-01	3431.5187140919193	4049.1897605820204	4774.318870443514
2024-03-01	3425.511391577867	4061.2600921225157	4811.140714595903
2024-04-01	3480.83064804552	4145.952767660903	4934.10571894339
2024-05-01	3542.3032548006586	4238.659272679224	5067.62815057579
2024-06-01	3497.506531516273	4205.082797426207	5051.428178830775
2024-07-01	3457.9633600574975	4177.42346569981	5042.087651732576
2024-08-01	3462.342465878365	4202.46175168105	5096.144111414795
2024-09-01	3415.170023025164	4165.090959740509	5074.9402754381945
2024-10-01	3373.975743278471	4134.600075795508	5061.8519281175
2024-11-01	3418.5991732230495	4208.924363309716	5176.890489593864
2024-12-01	3456.9314317310323	4276.056633478637	5283.985390639311
2025-01-01	3444.8389835342336	4281.340399040682	5315.5273794669065
2025-02-01	3445.14804776996	4301.978120178861	5366.29628765309
2025-03-01	3404.537883682015	4271.6221210622925	5353.819984595628
2025-04-01	3478.935002317696	4385.066371358937	5521.196258504151
2025-05-01	3469.287635031457	4393.518344014048	5557.790581155377
2025-06-01	3489.5166964065497	4439.899652513292	5642.728169454495
2025-07-01	3436.4306003290453	4393.350622149908	5610.251542936361
2025-08-01	3437.860669903198	4415.947447061275	5665.62854082332
2025-09-01	3378.620856344086	4360.744964518001	5621.607572828599
2025-10-01	3337.219901802203	4327.9820013404305	5606.021600073278
2025-11-01	3380.7482584101376	4404.989117985115	5732.394741276766
2025-12-01	3425.739953504481	4484.473689459222	5862.9799780887715
