	lower	Forecast	upper
2021-04-01	179373.85122608265	179810.7246898695	180247.59815365635
2021-05-01	179184.24677810483	180058.0715866775	180931.89639525017
2021-06-01	176746.19658801015	178059.3870523371	179372.577516664
2021-07-01	176795.7423515626	178551.02430660813	180306.30626165366
2021-08-01	175663.9297612208	177862.70506496658	180061.48036871236
2021-09-01	178105.9798870122	180752.6877564002	183399.39562578822
2021-10-01	180194.22739275955	183296.50016569	186398.77293862042
2021-11-01	179786.42156752205	183353.3713208757	186920.32107422937
2021-12-01	177843.40235043145	181872.3421897435	185901.28202905552
2022-01-01	177915.11998523775	182411.96886643078	186908.81774762378
2022-02-01	177220.3357393022	182185.71671036803	187151.09768143386
2022-03-01	177926.54089209193	183362.94614499802	188799.35139790407
2022-04-01	176513.70759054297	182389.47849920328	188265.24940786362
2022-05-01	176694.0949343253	183001.1318748458	189308.16881536628
2022-06-01	175124.84560232877	181894.65143879745	188664.45727526615
2022-07-01	174927.52287061972	182170.45577590112	189413.38868118258
2022-08-01	174557.3978583138	182271.5497479329	189985.70163755206
2022-09-01	175011.1775992362	183209.94400501784	191408.71041079948
2022-10-01	176436.0431477691	185136.16848449426	193836.29382121944
2022-11-01	179168.36428396034	188391.03218335204	197613.70008274374
2022-12-01	177984.78049235637	187714.37581411877	197443.9711358812
2023-01-01	175756.97536633376	185989.29253652188	196221.60970671003
2023-02-01	176008.57611245595	186740.03260511666	197471.48909777738
2023-03-01	178839.40635607002	190077.63450910346	201315.86266213693
2023-04-01	176008.09497509964	187687.32428486593	199366.55359463225
2023-05-01	175140.61756420156	187249.55528584842	199358.49300749527
2023-06-01	174418.30292345426	187020.30524965312	199622.307575852
2023-07-01	174243.24221841217	187351.23739499395	200459.23257157576
2023-08-01	173973.78105365872	187586.05569864588	201198.33034363305
2023-09-01	175260.2427781008	189392.13944829267	203524.03611848454
2023-10-01	176902.71309313294	191586.55240310685	206270.39171308078
2023-11-01	179339.56004468809	194614.2046129358	209888.84918118353
2023-12-01	181909.1620726208	197734.3863631684	213559.61065371596
2024-01-01	182167.2593369458	198530.29086596027	214893.32239497476
2024-02-01	181303.2314266563	198203.4082056463	215103.58498463634
2024-03-01	184222.37943216154	201667.10015603036	219111.82087989917
2024-04-01	186402.86244956127	204293.25719010184	222183.65193064243
2024-05-01	184803.1380833558	203120.82692480847	221438.51576626117
2024-06-01	184168.93809265675	203008.15704378916	221847.37599492163
2024-07-01	187227.95056387348	206606.3007304555	225984.65089703753
2024-08-01	187455.13494599992	207370.63036255748	227286.12577911507
2024-09-01	188581.93115524703	209056.76790648987	229531.60465773274
2024-10-01	195767.11133286508	216848.32954217805	237929.54775149105
2024-11-01	195637.4435057092	217371.69389148225	239105.9442772553
2024-12-01	194643.41750728007	216976.76747771847	239310.11744815687
2025-01-01	196253.9017950178	219174.90284327124	242095.9038915247
2025-02-01	194471.94097120792	217969.92340041598	241467.90582962404
2025-03-01	196406.12471648178	220488.17569755172	244570.22667862172
2025-04-01	200348.26796790812	224882.4181480658	249416.56832822354
2025-05-01	198674.7290333663	223633.64218196922	248592.55533057216
2025-06-01	196678.3082877584	222195.97866355424	247713.6490393501
2025-07-01	197885.95117294227	223980.91445368863	250075.87773443502
2025-08-01	197863.11325699414	224530.07353476027	251197.03381252647
2025-09-01	199036.44948395382	226299.08258243013	253561.71568090646
2025-10-01	203123.0956400776	231042.65496496303	258962.21428984852
2025-11-01	202898.27348967426	231534.80529118358	260171.33709269293
2025-12-01	202197.6591945409	231476.51453515032	260755.36987575973
