	lower	Forecast	upper
2021-04-01	111659.4092273054	112103.34444803408	112547.2796687628
2021-05-01	110859.714708501	111744.51080227931	112632.8237425547
2021-06-01	110622.73713080426	111949.0497219393	113285.9213831514
2021-07-01	110454.49223628973	112223.28169972968	114013.23028016364
2021-08-01	109873.51458337904	112078.42278711172	114318.58768550263
2021-09-01	108856.52901722369	111486.30644977679	114168.81420119159
2021-10-01	105793.83020699868	108793.24111630312	111865.24706575344
2021-11-01	105302.87075377803	108721.86521664634	112237.59956285848
2021-12-01	114026.93693511492	118161.52396682577	122428.82650916891
2022-01-01	112768.00301498231	117327.05329263168	122051.30918954687
2022-02-01	112104.84115953873	117103.5412372975	122304.04011553887
2022-03-01	112015.81751101906	117476.03320785171	123179.23129309558
2022-04-01	111631.68670492753	117537.37810925834	123730.29040982231
2022-05-01	111330.83792874053	117684.61231130609	124373.72868583858
2022-06-01	110903.24322909206	117699.56648201431	124883.02627197313
2022-07-01	110472.49571146785	117709.99516166052	125390.20151049759
2022-08-01	110432.44824359412	118134.65356118891	126340.3888516636
2022-09-01	110032.03061486644	118175.96369163702	126886.84630651385
2022-10-01	110557.55908633753	119210.9218117417	128503.30894615487
2022-11-01	109819.55008383485	118890.63259639678	128670.60092347678
2022-12-01	112697.68293590638	122479.60838037223	133066.8341730886
2023-01-01	111092.4284126649	121221.99391287137	132229.57770871723
2023-02-01	110098.7438282962	120619.34763961083	132097.58767654165
2023-03-01	110007.53462393163	120998.86680076913	133038.2904601983
2023-04-01	110805.85447084975	122355.06703890725	135055.1225696745
2023-05-01	110648.01209119547	122663.88237359015	135929.24662071795
2023-06-01	111665.44662374971	124278.68899403623	138258.2217528775
2023-07-01	111229.92659116135	124287.67575754477	138817.45479793884
2023-08-01	110779.55558948684	124278.00253726584	139357.9198314832
2023-09-01	110354.94434134495	124295.62858589868	139931.59979220614
2023-10-01	109462.07193541228	123784.97981619097	139914.00105684585
2023-11-01	109089.91920689619	123858.18769273271	140555.17878344713
2023-12-01	111446.10002047326	127026.17974905076	144709.51611687752
2024-01-01	110111.3792730391	126009.76825509916	144126.79952067012
2024-02-01	109691.3072367425	126029.77896089217	144722.41497955605
2024-03-01	109336.31765462196	126122.84332526065	145404.50952483746
2024-04-01	108860.71223127459	126072.66071731858	145921.300034623
2024-05-01	108404.2423331509	126041.81845813915	146461.7747303405
2024-06-01	108018.62335765855	126093.71300588176	147103.37705736305
2024-07-01	107586.44384858517	126090.07638617961	147683.44847691752
2024-08-01	106700.1920980965	125552.12127264714	147639.8387774055
2024-09-01	105766.13990852593	124952.09986590526	147521.11616969173
2024-10-01	104717.95598030595	124211.47224332267	147234.30672963342
2024-11-01	104137.9083955557	124019.11608199279	147593.83891176028
2024-12-01	107136.42223328614	128083.60121866624	153018.27040405828
2025-01-01	105903.78502894398	127119.28302682065	152474.69867814088
2025-02-01	104843.74929441263	126352.0577046066	152160.36774025386
2025-03-01	104448.39782241854	126377.79004344248	152796.1204293373
2025-04-01	103669.52616068842	125934.9174529594	152864.6174632028
2025-05-01	103237.6392228355	125907.5426571921	153434.99385784735
2025-06-01	103193.18015347618	126353.16202475692	154587.16258924984
2025-07-01	102785.98189093627	126356.49402553045	155205.31359036465
2025-08-01	102757.75916915912	126823.57200367034	156395.3653094958
2025-09-01	101837.69785616858	126192.04551983834	156238.1187961681
2025-10-01	101705.46432596627	126530.72653099461	157279.6303827962
2025-11-01	100857.9908127274	125981.22628916187	157224.10816368568
2025-12-01	103768.84280723112	130118.36512940437	163012.7476979092
