	lower	Forecast	upper
2021-04-01	253611.67329835778	253745.54373296388	253879.41416757007
2021-05-01	255136.69394625528	255405.50525448695	255674.45809686035
2021-06-01	256637.51642757116	257043.16301842415	257449.2368324362
2021-07-01	257488.3803429064	258031.57722679805	258575.63310170616
2021-08-01	258248.99807426688	258930.47945289293	259613.39873518638
2021-09-01	259262.44838520742	260083.89285310428	260907.5050551158
2021-10-01	260689.69359197325	261653.77755533875	262620.91594396974
2021-11-01	262485.903754701	263595.7730063139	264709.7463407034
2021-12-01	263757.19439035264	265012.3293233607	266272.77058768214
2022-01-01	265168.1722833948	266570.73451011354	267979.969960985
2022-02-01	266397.4436352133	267947.9477729027	269506.6515243613
2022-03-01	267431.12969660026	269129.7943025645	270838.34409731283
2022-04-01	268390.94480429223	270237.6314835983	272096.0408364975
2022-05-01	269096.8853466572	271090.8029208012	273098.4321933406
2022-06-01	269807.08293825213	271949.8151649719	274108.42150161625
2022-07-01	270844.44501592603	273139.59605002496	275452.971095597
2022-08-01	271720.1077596544	274167.4021186396	276635.4308906027
2022-09-01	272970.4163589171	275574.43747148407	278201.9073410094
2022-10-01	274643.005592609	277409.4167418181	280202.2126875165
2022-11-01	276809.0406326811	279744.9368032595	282710.3991119747
2022-12-01	278212.2348944644	281311.5794909226	284443.7898737605
2023-01-01	279382.4375032225	282644.0879787361	285942.0665064309
2023-02-01	280501.8198210477	283926.41285951214	287390.97706328915
2023-03-01	282635.4169609934	286236.67408678995	289881.8821311455
2023-04-01	283647.6117929526	287412.7116868626	291225.7644692042
2023-05-01	284447.8315907646	288375.0045583082	292354.2842459172
2023-06-01	285300.66350595193	289392.3705410793	293540.55637506564
2023-07-01	286392.9299302987	290653.72739873605	294975.6183318278
2023-08-01	287391.432137838	291821.1264391425	296316.70826729084
2023-09-01	288653.86081337923	293257.8135368054	297932.71268344304
2023-10-01	290491.32136104954	295280.44880628184	300145.94374818605
2023-11-01	292976.93289723975	297964.3233141223	303033.9179925998
2023-12-01	294438.95948218374	299609.46749657445	304867.97425004875
2024-01-01	295591.0208255405	300940.69200592843	306384.28514888015
2024-02-01	296815.5508185697	302346.98168706277	307978.4974053319
2024-03-01	299061.2177423719	304794.87926474214	310635.3573639598
2024-04-01	300179.99866429373	306095.8675259924	312125.1134451163
2024-05-01	301034.04095417	307128.04099042335	313342.0949824726
2024-06-01	301914.4328103775	308188.9367393075	314590.4287320544
2024-07-01	303039.6506851728	309500.9135060015	316096.42466342234
2024-08-01	304093.38076588453	310741.13954610494	317530.6044302966
2024-09-01	305441.41796258657	312283.4890590381	319275.0978343574
2024-10-01	307426.3426480644	314478.87910777645	321689.358141902
2024-11-01	310000.847016837	317279.9245099641	324725.947345096
2024-12-01	311572.6267532807	319057.11089971015	326717.2956593613
2025-01-01	312925.34108093695	320611.6405730359	328482.5338865528
2025-02-01	314235.1493939738	322123.658606551	330205.88299240865
2025-03-01	316598.9052716933	324717.61760330986	333040.0763767631
2025-04-01	317831.6111219472	326153.22610808763	334688.16119820497
2025-05-01	318744.56686599524	327261.95930679893	336002.2799679667
2025-06-01	319753.29825647234	328471.0335051129	337421.6639551189
2025-07-01	320962.72081857367	329887.5652321187	339055.6759101522
2025-08-01	322074.2109056311	331204.7928041947	340589.2010616681
2025-09-01	323436.7814332428	332781.6544894634	342391.3822833232
2025-10-01	325475.49627826526	335056.1365888525	344913.5156780387
2025-11-01	328142.0452979401	337979.5847023233	348106.6276434692
2025-12-01	329887.44520415785	339956.76154940116	350327.8752447479
