	lower	Forecast	upper
2021-04-01	94200.43436816722	94356.70864612015	94512.98292407309
2021-05-01	94468.538017253	94781.11443201936	95093.69084678573
2021-06-01	95014.12903758931	95483.87121384447	95953.61339009966
2021-07-01	95417.6418592138	96045.52485707514	96673.40785493652
2021-08-01	96318.2739650411	97104.79924399755	97891.32452295403
2021-09-01	96875.0890799614	97821.84459506122	98768.60011016109
2021-10-01	97390.6464798387	98500.36239941054	99610.07831898241
2021-11-01	97484.07175721021	98760.0075679321	100035.94337865402
2021-12-01	96966.11994975545	98407.31452094027	99848.50909212512
2022-01-01	96181.20628707384	97789.7768921193	99398.3474971648
2022-02-01	95882.86323270433	97659.03274249441	99435.2022522845
2022-03-01	96470.8017167005	98415.46161477105	100360.12151284162
2022-04-01	96860.70351749464	98962.529177054	101064.3548366134
2022-05-01	96811.37794758765	99067.47204714423	101323.56614670083
2022-06-01	97367.33728148213	99788.9687301066	102210.6001787311
2022-07-01	98069.70968265455	100660.5837087929	103251.45773493129
2022-08-01	98475.06517245431	101234.49923402439	103993.93329559448
2022-09-01	99652.80449949458	102585.59032050171	105518.37614150887
2022-10-01	100285.5661740269	103397.69340947774	106509.82064492861
2022-11-01	100222.3325111126	103521.37877106213	106820.42503101165
2022-12-01	99498.30143468466	102978.68101760336	106459.06060052209
2023-01-01	98454.0720325929	102114.280560014	105774.48908743513
2023-02-01	98302.91766473824	102141.67362907893	105980.42959341963
2023-03-01	98904.31981850846	102924.35338809734	106944.38695768623
2023-04-01	99245.45895056918	103423.24331771728	107601.02768486542
2023-05-01	99216.21137296993	103547.70700290533	107879.20263284075
2023-06-01	99821.63654897617	104329.50662471243	108837.37670044875
2023-07-01	100688.15981813075	105377.02891051027	110065.89800288981
2023-08-01	101129.9204543884	105999.17566848022	110868.4308825721
2023-09-01	101787.89107024593	106843.0206015678	111898.15013288973
2023-10-01	102524.861621953	107777.42689761081	113029.99217326869
2023-11-01	102566.11627851783	108030.01886989916	113493.92146128051
2023-12-01	101803.08912909383	107463.93993475242	113124.79074041104
2024-01-01	100688.26173173529	106541.49189854975	112394.72206536429
2024-02-01	100469.14466881596	106514.51739647212	112559.89012412833
2024-03-01	101082.93190944113	107323.0937896861	113563.25566993112
2024-04-01	101455.05157286584	107854.6357822998	114254.21999173381
2024-05-01	101431.10088168671	107983.53272923258	114535.96457677853
2024-06-01	102047.50178651043	108786.4904933685	115525.47920022665
2024-07-01	102930.10925215596	109861.95092079838	116793.79258944085
2024-08-01	103169.54428495401	110293.5285144381	117417.51274392226
2024-09-01	103623.76489471574	110947.8314602829	118271.89802585013
2024-10-01	104280.38442885535	111821.36008224524	119362.33573563519
2024-11-01	104436.00209210155	112210.57429075133	119985.14648940117
2024-12-01	103242.3903260079	111231.26680902402	119220.14329204019
2025-01-01	102388.8740727604	110587.95958764992	118787.04510253952
2025-02-01	102090.09460189177	110495.57248476674	118901.05036764177
2025-03-01	102369.62418765256	110984.02959481813	119598.43500198376
2025-04-01	102679.49535659577	111455.62144894127	120231.74754128682
2025-05-01	102206.84802151135	111134.91633900265	120062.98465649401
2025-06-01	102308.52558175517	111436.46729387582	120564.40900599654
2025-07-01	102800.56726518078	112135.01278072887	121469.45829627701
2025-08-01	103269.58560040017	112808.64051686195	122347.6954333238
2025-09-01	103692.23341954172	113444.366830508	123196.50024147436
2025-10-01	104331.45303518514	114318.57593443613	124305.69883368719
2025-11-01	104317.15044877102	114560.74201774922	124804.33358672747
2025-12-01	104061.60509079364	114534.96261171352	125008.32013263345
