	lower	Forecast	upper
2021-04-01	32609.367245107944	32646.07691922721	32682.78659334647
2021-05-01	32375.376009108342	32448.52418900381	32521.754909628035
2021-06-01	32093.130138194243	32202.185461666926	32311.48755709776
2021-07-01	31850.593486001355	31995.114470694338	32140.12671549223
2021-08-01	31653.968994470255	31833.64127950487	32014.128513407977
2021-09-01	31547.796223982063	31762.762125470854	31978.947284575344
2021-10-01	31441.423259459352	31691.537074941956	31943.354354254592
2021-11-01	31278.639844819387	31563.300335825665	31850.22505767786
2021-12-01	31097.17181439524	31415.804806914362	31737.33657071928
2022-01-01	31116.346108598984	31470.650965839137	31828.58254279927
2022-02-01	31231.881657305563	31623.014157572827	32018.5946377261
2022-03-01	31460.189228991676	31889.85832433473	32324.900509966366
2022-04-01	31446.300524428945	31911.54529238558	32383.136602268598
2022-05-01	31260.360336916787	31758.60962924146	32264.22473160808
2022-06-01	31139.04586144718	31671.12737747828	32211.684942756066
2022-07-01	31059.475030602738	31625.907083894377	32202.0125183543
2022-08-01	31004.238712522303	31605.30088839048	32217.31760430425
2022-09-01	31013.515902796986	31650.420755092477	32299.6646014945
2022-10-01	31021.165666974714	31693.99560086338	32380.634986873625
2022-11-01	31005.004503320568	31713.363770315184	32437.079944401255
2022-12-01	30929.82287884564	31672.28323869489	32431.69807395751
2023-01-01	30956.978700257376	31735.83254964683	32533.36973313738
2023-02-01	31117.54627525544	31936.22879256176	32775.49033673175
2023-03-01	31391.993083877194	32253.925638359015	33138.512380790315
2023-04-01	31438.98154490709	32338.377656177043	33262.446026546764
2023-05-01	31324.890138251747	32257.26299616412	33216.28972870138
2023-06-01	31274.85407144731	32242.078023340837	33238.07411620704
2023-07-01	31245.794701684288	32248.47330552288	33282.14331325331
2023-08-01	31243.656615590466	32282.614789673666	33354.89240534349
2023-09-01	31282.61750944138	32359.290789945146	33471.744434240245
2023-10-01	31335.534971117257	32450.607278221232	33604.035427017174
2023-11-01	31385.45649772516	32539.066070339348	33733.70585157285
2023-12-01	31345.506646675098	32534.396258688503	33766.96221873375
2024-01-01	31387.20205671347	32614.376890104533	33888.06721510644
2024-02-01	31583.18719379805	32854.809281096655	34176.11041129525
2024-03-01	31883.201243908963	33203.96703030092	34577.86495601028
2024-04-01	31960.377465084584	33321.58509266298	34739.13566646901
2024-05-01	31869.553510544178	33264.236280733036	34718.27917104072
2024-06-01	31837.274216614307	33268.01645522146	34761.33464229934
2024-07-01	31818.791577147247	33286.209543796256	34819.534261819776
2024-08-01	31831.169919068332	33336.67624677929	34911.57144212292
2024-09-01	31884.243639293778	33429.87034092261	35048.555173658126
2024-10-01	31954.69069530956	33541.525269696016	35205.239279506124
2024-11-01	32013.95092915081	33641.71806681571	35350.27592132553
2024-12-01	31988.028371119974	33652.474224937985	35401.50485117191
2025-01-01	32052.40331557222	33758.18017182655	35552.66005864757
2025-02-01	32262.919993761156	34017.97653379056	35866.36673458369
2025-03-01	32575.2561022942	34385.678160914365	36294.507691327315
2025-04-01	32667.0125426985	34521.110305409915	36478.175639059766
2025-05-01	32583.425907015102	34471.46823827801	36466.60134394831
2025-06-01	32564.404798785585	34490.18627869845	36527.49211863553
2025-07-01	32551.179764926448	34515.06549095729	36595.02425096048
2025-08-01	32557.96639013824	34561.16358063072	36685.146658166246
2025-09-01	32605.107184999448	34650.1885799429	36821.022303576116
2025-10-01	32689.57906680569	34779.12362172781	36999.65365367646
2025-11-01	32784.33515868234	34919.32099920292	37190.70112231215
2025-12-01	32770.72521662856	34944.255195815094	37259.252461787706
