	lower	Forecast	upper
2021-04-01	83032.36077410544	83381.32608867118	83730.29140323693
2021-05-01	80975.59817489296	81673.59101372486	82371.58385255678
2021-06-01	82080.00661637065	83128.95548018206	84177.9043439935
2021-07-01	83230.78123258242	84632.86346088843	86034.94568919446
2021-08-01	82793.27078467511	84549.60615208348	86305.94151949185
2021-09-01	83471.19963541007	85585.33409484533	87699.4685542806
2021-10-01	83083.40201953794	85561.4321216423	88039.46222374665
2021-11-01	80519.80209864491	83369.00637836875	86218.2106580926
2021-12-01	78757.94619235933	81976.17841503778	85194.41063771627
2022-01-01	77827.30297128984	81419.29107415567	85011.2791770215
2022-02-01	77995.56386214211	81961.80552279872	85928.04718345533
2022-03-01	78176.4982690855	82518.98419794669	86861.4701268079
2022-04-01	76677.3456134826	81370.78756732329	86064.22952116402
2022-05-01	75316.79171852312	80354.71988849857	85392.64805847402
2022-06-01	75285.54352196962	80693.121731904	86100.6999418384
2022-07-01	75609.6882760338	81395.19041608438	87180.69255613498
2022-08-01	75945.94329490332	82107.84522740956	88269.74715991582
2022-09-01	75175.98143981074	81724.9832332467	88273.9850266827
2022-10-01	74029.26111503181	80978.7378549901	87928.21459494841
2022-11-01	71451.70313073636	78818.5758557341	86185.44858073187
2022-12-01	69127.55295120554	76899.34861630641	84671.14428140728
2023-01-01	68244.76937229553	76418.12865367626	84591.48793505697
2023-02-01	68261.35074602046	76833.41199746124	85405.473248902
2023-03-01	68217.07584524626	77193.93561738929	86170.7953895323
2023-04-01	67055.03781294325	76384.16001377485	85713.28221460641
2023-05-01	65754.00493038046	75426.3691533382	85098.73337629587
2023-06-01	66079.56173549552	76145.77557187968	86211.98940826383
2023-07-01	66650.90896769777	77121.29922777988	87591.68948786196
2023-08-01	67202.18898978688	78075.38706015746	88948.58513052801
2023-09-01	66661.57877794356	77949.83996958745	89238.1011612313
2023-10-01	65489.17876288793	77218.32010148386	88947.46144007973
2023-11-01	63502.59359208393	75703.65771814677	87904.72184420958
2023-12-01	61187.6076205439	73828.46322380124	86469.31882705854
2024-01-01	59975.19919793952	73045.64388752071	86116.08857710187
2024-02-01	60896.435476327104	74395.94046977852	87895.44546322987
2024-03-01	61192.76367241884	75127.23889128136	89061.71411014385
2024-04-01	59975.29449363564	74265.76472321256	88556.23495278945
2024-05-01	59232.52130322451	73864.3050542142	88496.08880520385
2024-06-01	59282.311378317354	74330.6823882409	89379.05339816441
2024-07-01	59623.552053324296	75102.56971447902	90581.58737563372
2024-08-01	62693.939974823894	78602.01793984883	94510.09590487374
2024-09-01	62041.19075472643	78396.0587882443	94750.92682176216
2024-10-01	61424.185503451365	78263.41826452229	95102.65102559321
2024-11-01	61303.38626632461	78664.24736550654	96025.10846468847
2024-12-01	60029.41119595992	77868.82041570464	95708.22963544936
2025-01-01	59465.89948166466	77774.71199600886	96083.52451035306
2025-02-01	63095.90429692483	81865.59737690951	100635.29045689419
2025-03-01	64566.10171584164	83802.336444206	103038.57117257036
2025-04-01	64297.78026634913	83895.14230571341	103492.5043450777
2025-05-01	66576.7844871799	86513.43823269296	106450.09197820602
2025-06-01	67978.24913508378	88361.22637633655	108744.20361758933
2025-07-01	69816.07811683108	90660.18476252604	111504.29140822105
2025-08-01	73013.89254860318	94314.89833911107	115615.90412961898
2025-09-01	74343.54994357389	96120.36662782563	117897.18331207737
2025-10-01	74846.73465048654	97148.29015787083	119449.84566525511
2025-11-01	75985.39864169668	98859.65665124552	121733.91466079438
2025-12-01	73985.10653417332	97372.43904802397	120759.77156187463
