	lower	Forecast	upper
2021-04-01	56409.95133042158	56555.22050442367	56700.48967842576
2021-05-01	55578.81266731374	55869.376912309446	56159.94115730515
2021-06-01	55753.9850014471	56190.64712417394	56627.30924690077
2021-07-01	54668.39377294988	55252.06016811149	55835.72656327309
2021-08-01	53798.151035630835	54529.287849074804	55260.424662518766
2021-09-01	53684.225213297155	54564.30857354083	55444.39193378451
2021-10-01	53085.704527210924	54117.27233942452	55148.840151638105
2021-11-01	53124.63920949598	54310.72142168879	55496.80363388161
2021-12-01	53473.283379278786	54812.98654524294	56152.68971120711
2022-01-01	54108.34877286122	55603.641063953204	57098.9333550452
2022-02-01	54083.43529022054	55734.52388237261	57385.61247452469
2022-03-01	53407.41112164356	55215.12471858476	57022.83831552597
2022-04-01	53186.4853049156	55140.296779587916	57094.10825426027
2022-05-01	52353.93988922291	54451.15595450697	56548.37201979105
2022-06-01	51954.30806996534	54205.40405893608	56456.50004790684
2022-07-01	51790.9584424348	54199.37865496605	56607.79886749732
2022-08-01	51788.33271401133	54353.44267381054	56918.55263360977
2022-09-01	51867.72497409144	54593.97896370221	57320.23295331301
2022-10-01	52063.11870479506	54956.08457739691	57849.05044999878
2022-11-01	52347.46213908979	55414.18387637958	58480.90561366939
2022-12-01	52693.051813108345	55928.3370682838	59163.62232345926
2023-01-01	52417.512117261795	55819.96245278015	59222.412788298505
2023-02-01	52854.56075847031	56422.98491272106	59991.40906697181
2023-03-01	52757.58623757881	56494.52211573216	60231.457993885495
2023-04-01	52511.792030989534	56395.369623696184	60278.94721640284
2023-05-01	52341.567924346215	56368.03216783395	60394.49641132171
2023-06-01	52035.4464118128	56225.86450869339	60416.28260557399
2023-07-01	52240.98038232526	56599.651233193115	60958.32208406097
2023-08-01	51750.21990546136	56276.573776502766	60802.92764754417
2023-09-01	51743.727196816486	56442.86579536337	61142.00439391023
2023-10-01	52019.616316970576	56902.28689450894	61784.95747204731
2023-11-01	51587.825699520035	56666.95085482467	61746.07601012929
2023-12-01	51955.62397006508	57217.82790700938	62480.031843953686
2024-01-01	51981.82203147104	57422.857643443676	62863.893255416304
2024-02-01	52480.769991856934	58100.41715442987	63720.064317002805
2024-03-01	52737.71037300917	58538.42930037801	64339.14822774684
2024-04-01	52889.27753365396	58838.19199506807	64787.106456482165
2024-05-01	52510.65559320165	58601.65389865934	64692.652204117
2024-06-01	52198.94023146033	58463.357740716034	64727.775249971724
2024-07-01	52983.09676774153	59426.786200881616	65870.47563402168
2024-08-01	52921.009757336426	59543.31074107681	66165.61172481718
2024-09-01	53766.0466865372	60574.33986346468	67382.63304039215
2024-10-01	54416.877357706195	61426.804510706446	68436.7316637067
2024-11-01	53749.52056208055	60976.59398908161	68203.66741608265
2024-12-01	55554.2180219206	62980.50405628613	70406.79009065166
2025-01-01	56073.42672673187	63695.1185107066	71316.81029468132
2025-02-01	56551.571118367894	64365.120764111845	72178.6704098558
2025-03-01	57536.2150083787	65543.97914212133	73551.74327586399
2025-04-01	58205.666578489014	66363.76274807837	74521.85891766773
2025-05-01	57611.38262629154	65910.72098769966	74210.05934910779
2025-06-01	58716.215773406155	67201.35210056487	75686.4884277236
2025-07-01	59713.82159678187	68390.91937367593	77068.01715057001
2025-08-01	60170.449370195754	69037.74760140096	77905.04583260618
2025-09-01	61236.455073009725	70301.82644395197	79367.19781489426
2025-10-01	62245.117670997985	71528.93016551767	80812.74266003737
2025-11-01	62663.96729597136	72186.18749454009	81708.40769310888
2025-12-01	64724.50490620425	74460.31054243808	84196.11617867192
