	lower	Forecast	upper
2021-04-01	91384.73008212083	91690.27960526543	91995.82912841004
2021-05-01	90232.39452312891	90838.32777334303	91446.2887053259
2021-06-01	91505.12852234641	92421.5554908383	93344.08047114918
2021-07-01	92780.11023597483	94016.70571044167	95265.62090755813
2021-08-01	91931.62487808683	93469.50396981007	95027.89505648291
2021-09-01	90954.16879121242	92786.77022554791	94650.03845432219
2021-10-01	90402.00508581552	92532.7689329888	94706.43513159371
2021-11-01	89958.55363645502	92387.7313883921	94874.1120433564
2021-12-01	89241.23777449869	91958.80058576204	94749.67505543867
2022-01-01	88150.33270007948	91141.15587521666	94222.9973940048
2022-02-01	87605.85924258464	90881.74893688007	94268.62253791762
2022-03-01	88328.31857828649	91933.84301057209	95673.82192902551
2022-04-01	89014.31679226148	92952.15309797875	97050.2474931273
2022-05-01	89806.249856048	94086.50637052151	98555.55098380237
2022-06-01	91112.17826022717	95767.40296394074	100643.86962369939
2022-07-01	92232.44984341881	97263.60903113063	102551.1864049685
2022-08-01	91570.72048334547	96889.2611258545	102497.55095977194
2022-09-01	90658.20908956007	96246.4223791981	102158.85230247237
2022-10-01	90505.72652034377	96405.55915288234	102668.50350955057
2022-11-01	90037.52181507491	96228.94489879094	102823.45291593632
2022-12-01	89382.8696278368	95850.05326435907	102761.35642675219
2023-01-01	88445.65805407705	95164.27121197617	102368.38501563453
2023-02-01	87784.18906939749	94769.29495334016	102284.22613782054
2023-03-01	88556.18633583028	95918.27450654127	103864.89235041299
2023-04-01	89112.60006408558	96838.44161231758	105205.09324181496
2023-05-01	89993.88502176214	98116.4309473829	106941.4707270765
2023-06-01	91335.23439993644	99905.08384531763	109246.58438129217
2023-07-01	92456.74229923169	101464.281257558	111315.11896610251
2023-08-01	91816.58856510294	101099.2946463414	111285.00073080606
2023-09-01	90882.73893398361	100407.65556315944	110894.21721361935
2023-10-01	90751.36388763283	100597.48886448615	111473.83867306961
2023-11-01	90341.89040079535	100479.93031245096	111716.27534774799
2023-12-01	88193.65834694955	98425.54862409645	109804.53399369384
2024-01-01	85795.94294402201	96077.38195523592	107550.50610193606
2024-02-01	84976.51838219212	95479.58335208341	107239.33534068095
2024-03-01	85720.37943322814	96633.29104215847	108892.20013360155
2024-04-01	86272.70190765506	97575.84249278021	110314.82181753789
2024-05-01	87713.61389889373	99528.28347008633	112887.04485527994
2024-06-01	89014.43995810288	101335.2334962995	115311.84774394095
2024-07-01	90098.33686850246	102906.34146868998	117483.3413262549
2024-08-01	89254.58922450685	102284.97789268971	117164.77918460712
2024-09-01	88350.33816228488	101589.29887183341	116758.02797704322
2024-10-01	88234.2766696236	101794.80997598438	117383.80093181027
2024-11-01	86482.97386031957	100114.63595348276	115838.71688154734
2024-12-01	85854.25738727824	99720.55052346579	115768.88302541342
2025-01-01	84965.50079607364	99020.4273662056	115341.72126634303
2025-02-01	84043.02420053471	98274.98884184018	114857.38003558805
2025-03-01	84775.04383108584	99458.16873830445	116622.61214522402
2025-04-01	85334.24775824307	100443.54322035404	118164.19111908489
2025-05-01	86627.9118717758	102298.5039474502	120737.26674766625
2025-06-01	87933.68654035684	104180.68698180623	123360.22220138664
2025-07-01	89009.33768213725	105801.75233007922	125690.21796235086
2025-08-01	88390.98416017296	105418.69543255841	125653.2690930461
2025-09-01	87477.85489778765	104680.60880387828	125191.82192032263
2025-10-01	87345.99139753896	104872.02470178324	125838.37939187541
2025-11-01	86920.51853119837	104711.68657322264	126066.56643338427
2025-12-01	86268.25381635418	104274.88696635455	125960.8281531844
