	lower	Forecast	upper
2021-04-01	19493.314081845223	19569.516311583884	19645.71854132255
2021-05-01	19375.126065013985	19525.341551419315	19676.137040070986
2021-06-01	19311.074564359616	19535.233057562655	19761.119439371487
2021-07-01	19209.715073187035	19507.220350301748	19808.167877195363
2021-08-01	18743.816791113713	19108.496264085064	19478.829793426714
2021-09-01	18887.10911917661	19327.516142773602	19776.447670845813
2021-10-01	19042.06060483163	19559.97261244485	20089.911718630694
2021-11-01	19145.389285618414	19740.995239243064	20352.751202092084
2021-12-01	18663.373923778312	19319.407523892543	19995.859113118553
2022-01-01	18779.794701053455	19513.77001585635	20273.462227386626
2022-02-01	18900.25298879406	19713.475634995324	20558.383934123878
2022-03-01	19528.836907111374	20444.393928094676	21399.14402466946
2022-04-01	19683.796099526124	20684.235252433664	21731.427904760894
2022-05-01	20014.010477932366	21109.68577485561	22260.842658169775
2022-06-01	20013.07488826877	21189.17427909659	22429.52964896083
2022-07-01	19948.59292660169	21201.778411025545	22528.481293430126
2022-08-01	19542.157985418504	20850.68519265163	22241.353372838432
2022-09-01	19615.319718764018	21008.389282272412	22494.53122686564
2022-10-01	19519.349934834983	20985.971551014773	22556.58068079031
2022-11-01	19570.88579073067	21121.80204810699	22789.018142373345
2022-12-01	19440.48054870147	21061.81839658321	22811.429796017586
2023-01-01	19165.868707351572	20844.761115819798	22663.482320941734
2023-02-01	18835.589855993578	20565.124220002148	22445.963495996533
2023-03-01	19094.955027435706	20926.843098368703	22926.485373334428
2023-04-01	19236.05295695254	21160.92565335184	23269.97533125757
2023-05-01	19530.592135249626	21565.214294250392	23802.835313321466
2023-06-01	19671.457334308176	21802.995626587664	24156.063748585246
2023-07-01	19623.450955308203	21833.004396887023	24281.509274420845
2023-08-01	19827.41056857423	22143.2324907388	24719.173811916895
2023-09-01	19897.504934094908	22306.07689116622	24995.362420485726
2023-10-01	19827.533306130532	22312.987569343404	25098.748889290062
2023-11-01	20102.968441028355	22708.5141309428	25639.903976497215
2023-12-01	19967.449543785155	22642.246037467477	25663.10369624854
2024-01-01	19631.62115033072	22347.90005059145	25427.4926999362
2024-02-01	19785.107379241024	22607.946449462295	25820.455308423672
2024-03-01	20079.90230132606	23031.137379549957	26402.384386692393
2024-04-01	20442.069041241048	23533.98453766516	27079.089218074674
2024-05-01	20664.813085858106	23879.699902081444	27579.61208961531
2024-06-01	20681.770247458644	23990.356338575093	27812.583783060865
2024-07-01	20153.159199967187	23468.736588932363	27314.001189121333
2024-08-01	20362.436228248698	23801.98703588269	27806.06819361501
2024-09-01	20331.57493920776	23856.814132099094	27976.311775791222
2024-10-01	20262.752904747587	23867.35734196528	28095.738651017266
2024-11-01	20489.612417684584	24226.08229900678	28625.736458377818
2024-12-01	20133.217358904953	23897.319806748183	28346.713873363784
2025-01-01	19901.020850542227	23713.013166477587	28236.39203468157
2025-02-01	19852.357416226725	23745.56764196518	28382.966546612344
2025-03-01	20622.2681075135	24757.14076747331	29700.480550534226
2025-04-01	20781.116852019626	25041.858701588215	30154.84135700973
2025-05-01	21062.37224966332	25475.78346366953	30791.765095060997
2025-06-01	21206.425990730993	25747.19309205514	31237.256542488707
2025-07-01	20639.643717811134	25157.316681922803	30640.82090537381
2025-08-01	20697.719955433116	25324.08951375449	30960.851291045365
2025-09-01	20664.471817589056	25380.1046183085	31147.55223629776
2025-10-01	20853.1810901958	25708.986137179443	31670.345798845832
2025-11-01	20959.148287322507	25938.180362984087	32074.08911941917
2025-12-01	21116.96097877781	26232.629877862888	32560.79443188765
