	lower	Forecast	upper
2021-04-01	71295.57039689788	71454.58026983694	71613.59014277601
2021-05-01	71204.12694483198	71522.44083424124	71841.464638695
2021-06-01	71063.1714356637	71540.79921004448	72020.56234557444
2021-07-01	70915.80906176666	71552.53034259506	72193.52964966062
2021-08-01	70777.30555150325	71572.8357965491	72375.50335558705
2021-09-01	70779.17899440201	71734.98313194465	72701.51914589763
2021-10-01	70861.47356467285	71979.25779055776	73112.12136777783
2021-11-01	70954.67795336628	72235.57135233284	73536.65192666912
2021-12-01	69037.2508659603	70445.41510265104	71879.05260896371
2022-01-01	69231.0735443358	70801.1436536584	72403.18754205601
2022-02-01	69457.6604088488	71191.50656469594	72964.6102399528
2022-03-01	69777.12350031133	71678.426583574	73627.11191460383
2022-04-01	69669.07770572593	71727.05881514885	73841.02793425668
2022-05-01	69348.44172043736	71556.52923207825	73829.75336472756
2022-06-01	69263.15092086158	71628.53396397499	74069.14006390645
2022-07-01	69222.50361734102	71746.86337425091	74357.33029753469
2022-08-01	69138.31553255326	71820.13705391968	74599.6427322772
2022-09-01	69206.13472779513	72051.50191347272	75007.10419577484
2022-10-01	69328.83762531595	72340.92825813667	75476.71376984513
2022-11-01	69473.22892315216	72654.20474420986	75973.23064462375
2022-12-01	67621.42000726356	70880.54524232552	74288.92769275737
2023-01-01	67743.43087938719	71167.26075102523	74755.89167184634
2023-02-01	67902.79895041179	71494.04127614659	75266.54368239708
2023-03-01	68202.95853572055	71970.23021800806	75936.46486946178
2023-04-01	68098.55584798178	72020.33139267155	76158.43017494028
2023-05-01	67805.07474531408	71870.20956921294	76169.15167707446
2023-06-01	67756.45422573373	71979.44430524693	76455.30706901742
2023-07-01	67726.89167159109	72109.18708808211	76764.28601604748
2023-08-01	67671.22869150875	72211.3057336262	77044.79868206369
2023-09-01	67730.1051317157	72435.89002329328	77457.00075347353
2023-10-01	67871.90261182043	72750.11900160927	77966.8607731234
2023-11-01	68063.54318347685	73119.1739102068	78537.75440916684
2023-12-01	66248.20405031405	71332.96304546516	76795.29359807425
2024-01-01	66351.69336342886	71604.18665608327	77259.31338472213
2024-02-01	66521.08879047347	71947.34956077227	77802.6010509212
2024-03-01	66816.2209113427	72427.71971438426	78496.34428879814
2024-04-01	66728.34337879551	72493.77698822248	78742.76792029418
2024-05-01	66447.75254186236	72350.26079811613	78762.1044001776
2024-06-01	66400.60108651186	72460.75309392653	79058.56288921594
2024-07-01	66366.36240089868	72585.5985635224	79371.75469233516
2024-08-01	66314.70471676263	72691.54805118809	79665.24518871847
2024-09-01	66377.57825125133	72923.30764065648	80097.70099829901
2024-10-01	66527.56763561432	73251.7832461676	80638.29294346996
2024-11-01	66705.83821537069	73612.8114074429	81217.07707166334
2024-12-01	64934.186097699545	71822.80409465985	79424.30257691792
2025-01-01	65065.031300657385	72128.48733390312	79940.33073385565
2025-02-01	65235.342609117484	72478.82662311906	80507.64776552144
2025-03-01	65523.22118527599	72961.01713563889	81223.58373041118
2025-04-01	65448.756982617095	73040.62782919033	81493.14331410162
2025-05-01	65177.847244570235	72900.83278559202	81518.51979174356
2025-06-01	65148.42443798245	73031.02638207648	81846.48700781807
2025-07-01	65118.169605720745	73160.60550945827	82174.93723685604
2025-08-01	65057.695905274806	73256.39559534621	82466.43647693557
2025-09-01	65102.549027325214	73470.97359476393	82892.69207822977
2025-10-01	65251.90491261343	73804.42063027377	83454.93745667968
2025-11-01	65449.997436728074	74194.42898209575	84083.59405645737
2025-12-01	63713.41268686365	72392.18165202333	82229.65648277363
