	lower	Forecast	upper
2021-04-01	99083.36957357204	99482.96343655798	99882.55729954393
2021-05-01	98828.1633570093	99627.42231818271	100426.68127935613
2021-06-01	98751.24387122631	99952.37622183465	101153.508572443
2021-07-01	98410.59988468097	100016.09885677781	101621.59782887464
2021-08-01	98682.71540587048	100693.86323308335	102705.01106029624
2021-09-01	99028.83846112633	101449.6955499425	103870.55263875867
2021-10-01	98465.35606635647	101302.90346652594	104140.4508666954
2021-11-01	103142.18697498633	106404.75920508815	109667.33143518999
2021-12-01	100809.30299954604	104494.44244512744	108179.58189070884
2022-01-01	99521.69899724354	103634.81953362083	107747.94006999812
2022-02-01	98765.29254930181	103306.96405808724	107848.63556687266
2022-03-01	97768.43091398149	102740.93292162401	107713.43492926656
2022-04-01	96781.39647604933	102155.7718731268	107530.14727020425
2022-05-01	95781.44670100995	101550.28702656314	107319.12735211634
2022-06-01	95062.87612813053	101254.9960211786	107447.11591422667
2022-07-01	94689.56476959752	101314.43851194401	107939.31225429052
2022-08-01	95153.22822684546	102209.1105560529	109264.99288526035
2022-09-01	95140.08788775846	102639.2312584901	110138.37462922175
2022-10-01	94376.58160820718	102334.3015887921	110292.02156937706
2022-11-01	99219.74977910613	107655.42234436068	116091.09490961523
2022-12-01	97141.6449065627	106040.98739857995	114940.32989059725
2023-01-01	95574.88271900611	104934.04843690344	114293.21415480081
2023-02-01	94530.15726435973	104345.86938886673	114161.58151337375
2023-03-01	93136.68438797795	103415.92396884461	113695.16354971127
2023-04-01	92018.46548079538	102701.07439032911	113383.68329986284
2023-05-01	91199.20009354272	102274.84922752158	113350.49836150043
2023-06-01	90451.131482802	101977.77067767113	113504.40987254026
2023-07-01	90081.41019897012	102070.86449818361	114060.31879739709
2023-08-01	90088.53649737877	102539.23872650295	114989.94095562713
2023-09-01	89771.60884637674	102697.59234011313	115623.57583384952
2023-10-01	88830.68477627386	102261.51214325767	115692.33951024148
2023-11-01	93700.81263423356	107672.03024002856	121643.24784582356
2023-12-01	91580.9227456186	106055.73760863424	120530.55247164988
2024-01-01	89954.2592860504	104920.98883323563	119887.71838042086
2024-02-01	89048.6675099942	104506.70624213603	119964.74497427787
2024-03-01	87541.38130538716	103497.496566631	119453.61182787485
2024-04-01	86517.42276007026	102881.18146207301	119244.94016407576
2024-05-01	85448.88609735032	102203.47673255074	118958.06736775117
2024-06-01	84872.2403472772	102103.85750952734	119335.47467177747
2024-07-01	85108.42118589241	102833.16403073819	120557.90687558394
2024-08-01	84681.09939276414	102897.15142256652	121113.20345236888
2024-09-01	83782.48788709838	102510.15113429358	121237.81438148876
2024-10-01	83421.24333987554	102703.54386618806	121985.84439250054
2024-11-01	87651.2046532792	107530.81234442585	127410.42003557249
2024-12-01	85553.27507541509	105980.85955433596	126408.44403325679
2025-01-01	84311.28721404713	105276.37690611719	126241.46659818722
2025-02-01	83501.67054648175	104994.50622909132	126487.34191170085
2025-03-01	82016.54491855623	104043.6089950446	126070.67307153292
2025-04-01	81086.58598563552	103527.17040700906	125967.75482838256
2025-05-01	80128.92315014049	102958.02436066196	125787.1255711834
2025-06-01	79442.32264252329	102782.5008064261	126122.67897032888
2025-07-01	79634.8808508852	103503.08994613365	127371.29904138205
2025-08-01	78792.11909483917	103183.51512772917	127574.91116061911
2025-09-01	77901.54220731292	102837.78067910977	127774.01915090656
2025-10-01	76978.7208495295	102515.82824623703	128052.9356429445
2025-11-01	81918.85595386486	108111.75461586316	134304.6532778614
2025-12-01	80578.60597707171	107359.0169636937	134139.42795031564
