	lower	Forecast	upper
2021-04-01	118017.58957831339	118240.61561608956	118463.64165386575
2021-05-01	118123.5822211545	118569.67405533737	119015.76588952026
2021-06-01	114022.6206926014	114693.01084073639	115363.40098887139
2021-07-01	114517.4561058111	115413.53611996563	116309.61613412018
2021-08-01	114956.72970559548	116079.2152411185	117201.70077664153
2021-09-01	115505.01433435616	116856.17163318602	118207.32893201591
2021-10-01	116238.32589472049	117822.05130264598	119405.77671057147
2021-11-01	117118.99893777295	118939.94421456226	120760.88949135158
2021-12-01	117772.24266604264	119829.03613894363	121885.82961184462
2022-01-01	118466.17552617622	120761.83885110667	123057.50217603713
2022-02-01	119071.22666569348	121606.0779116974	124140.9291577013
2022-03-01	119683.4683656462	122458.7798088995	125234.0912521528
2022-04-01	119531.00760100529	122530.61735821071	125530.22711541611
2022-05-01	119264.56513543411	122484.33830901992	125704.11148260567
2022-06-01	119577.63734149779	123033.65629750023	126489.67525350262
2022-07-01	120039.70687124868	123737.25950752395	127434.81214379915
2022-08-01	120403.4039980461	124341.516228147	128279.62845824781
2022-09-01	120922.59619147112	125108.10649984324	129293.61680821529
2022-10-01	121632.59120664706	126074.04769884737	130515.50419104761
2022-11-01	122535.669716855	127243.88674037885	131952.10376390262
2022-12-01	123164.0715654741	128131.0775149067	133098.0834643393
2023-01-01	123664.17388737325	128887.82179666778	134111.46970596223
2023-02-01	124068.97385985487	129547.43483200841	135025.89580416188
2023-03-01	124574.25621683292	130311.42659763421	136048.59697843547
2023-04-01	124278.68590215774	130240.98952815161	136203.29315414545
2023-05-01	123898.32517420046	130079.99704396474	136261.668913729
2023-06-01	124143.20467842153	130576.58843786601	137009.97219731048
2023-07-01	124504.21477309852	131195.91035488577	137887.60593667306
2023-08-01	124791.93901182851	131741.07172608763	138690.20444034674
2023-09-01	125186.89018562692	132401.2924825659	139615.69477950493
2023-10-01	125842.58413761292	133338.7558488883	140834.9275601637
2023-11-01	126746.93188017803	134544.71256240807	142342.4932446381
2023-12-01	127283.02095401079	135361.87527454348	143440.7295950762
2024-01-01	127651.712391654	136005.11993508777	144358.52747852154
2024-02-01	127984.4651947539	136612.0880127295	145239.7108307051
2024-03-01	128384.75837637145	137290.37353878617	146195.98870120087
2024-04-01	128000.06965437693	137133.20357981406	146266.33750525117
2024-05-01	127519.95712863714	136871.22678029924	146222.4964319614
2024-06-01	127668.67651650398	137286.18983729315	146903.70315808238
2024-07-01	127939.40619027201	137832.1486306807	147724.89107108943
2024-08-01	128145.83030953094	138312.78802448147	148479.74573943202
2024-09-01	128468.09552662955	138920.5997258137	149373.1039249979
2024-10-01	129075.79551990751	139837.86041614588	150599.92531238426
2024-11-01	129894.4977618838	140989.9387748444	152085.379787805
2024-12-01	130373.07216167856	141774.3564397418	153175.6407178051
2025-01-01	130724.6491429884	142425.93216747115	154127.21519195396
2025-02-01	130984.21769440862	142980.05253293272	154975.8873714569
2025-03-01	131337.720112172	143631.72480011272	155925.72948805353
2025-04-01	130876.86536277222	143401.6689007514	155926.47243873068
2025-05-01	130307.21898253121	143048.8660912442	155790.5131999573
2025-06-01	130400.68116393237	143427.57656715027	156454.4719703683
2025-07-01	130594.60800489956	143916.2142566808	157237.82050846214
2025-08-01	130710.57625961553	144324.18977308628	157937.80328655711
2025-09-01	130919.48671419456	144837.1941130261	158754.90151185766
2025-10-01	131417.28357250395	145670.3550195826	159923.42646666127
2025-11-01	132127.354635402	146746.4440348414	161365.5334342808
2025-12-01	132482.98426885204	147429.9829733203	162376.9816777885
