	lower	Forecast	upper
2021-04-01	71157.50011636184	71444.1143736948	71730.72863102774
2021-05-01	73049.70498699405	73622.98459609927	74196.26420520448
2021-06-01	71198.85199432498	72060.3808828212	72921.90977131744
2021-07-01	72972.32974247202	74123.89621573525	75275.46268899848
2021-08-01	72368.74735534916	73811.27111328705	75253.79487122493
2021-09-01	73270.14888051413	75006.54230616757	76742.93573182102
2021-10-01	73693.99906424244	75729.26941266425	77764.53976108605
2021-11-01	74558.20405765937	76898.32937824928	79238.45469883922
2021-12-01	76788.6328363772	79431.8503709789	82075.06790558061
2022-01-01	76586.98660745287	79537.17953345421	82487.37245945558
2022-02-01	76842.6513002088	80100.22837312431	83357.80544603987
2022-03-01	78126.362411238	81692.95865312574	85259.55489501353
2022-04-01	78073.04059619387	81927.88611747262	85782.7316387514
2022-05-01	79551.15733718203	83688.93831616311	87826.71929514421
2022-06-01	79953.30733840994	84394.69147579595	88836.07561318197
2022-07-01	81413.11387406047	86164.89673028018	90916.67958649989
2022-08-01	81291.01465946024	86351.94442075047	91412.87418204069
2022-09-01	81052.45497301924	86431.31988294203	91810.18479286479
2022-10-01	80575.65447913516	86283.43984214307	91991.22520515093
2022-11-01	80231.57427887761	86282.17778246407	92332.7812860505
2022-12-01	82050.05180431358	88433.22901339612	94816.40622247859
2023-01-01	80675.12175786318	87388.11357271882	94101.1053875744
2023-02-01	80747.17230924654	87787.62838566683	94828.08446208703
2023-03-01	81216.40166124371	88589.32925428143	95962.25684731909
2023-04-01	78789.85612327616	86452.10597893047	94114.35583458473
2023-05-01	79298.55904108733	87242.72246565769	95186.885890228
2023-06-01	77755.53854873627	86023.18086860474	94290.82318847321
2023-07-01	79243.43818475306	87843.04107684585	96442.6439689386
2023-08-01	79062.69656114659	87993.13594779876	96923.57533445088
2023-09-01	80011.67593549607	89283.0174212525	98554.35890700891
2023-10-01	79015.58406930362	88649.03184647973	98282.47962365582
2023-11-01	80803.54682378541	90824.59701759896	100845.64721141249
2023-12-01	82886.04730996133	93268.30964250656	103650.57197505177
2024-01-01	81837.8614720062	92572.95645523557	103308.05143846493
2024-02-01	82398.0856445613	93485.57897574063	104573.07230691996
2024-03-01	83162.01841146672	94606.76406233087	106051.50971319502
2024-04-01	81595.89813688312	93333.03171672273	105070.16529656232
2024-05-01	82438.51768379177	94455.9809049287	106473.44412606557
2024-06-01	82341.52202708417	94701.13916108858	107060.75629509293
2024-07-01	83237.22342027428	95950.54181043117	108663.86020058801
2024-08-01	81640.74800027438	94706.46473838123	107772.18147648804
2024-09-01	82301.73540571085	95734.4124069722	109167.08940823354
2024-10-01	82201.16479357105	96031.6630993327	109862.16140509432
2024-11-01	83405.09269639837	97664.0178758095	111922.9430552206
2024-12-01	85249.00134596175	99900.97049979729	114552.9396536328
2025-01-01	85088.34476178256	100125.84700746334	115163.34925314406
2025-02-01	84807.40861168565	100223.4440110256	115639.4794103655
2025-03-01	85305.9438397974	101105.16198677412	116904.38013375082
2025-04-01	83412.96430982876	99508.78567702437	115604.60704421993
2025-05-01	84291.11682057114	100665.60725978635	117040.0976990015
2025-06-01	84718.95542032403	101460.0229143989	118201.0904084737
2025-07-01	85310.23291567665	102430.03794116796	119549.8429666592
2025-08-01	84346.34511832516	101841.41325335954	119336.48138839385
2025-09-01	84460.3656014056	102346.22955553458	120232.09350966348
2025-10-01	84421.73137995794	102738.5769297021	121055.4224794462
2025-11-01	84617.9274418665	103405.14839993711	122192.36935800764
2025-12-01	86327.70078135197	105536.32312766636	124744.94547398067
