Fechas	lower	Forecast	upper
2021-04-01	80122.92401456361	90443.86332333546	100764.80263210731
2021-05-01	79434.3877273817	89755.32703615355	100076.2663449254
2021-06-01	87378.70745852972	97699.64676730157	108020.58607607342
2021-07-01	85182.79138377935	95503.7306925512	105824.67000132304
2021-08-01	84065.91859216007	94386.85790093192	104707.79720970377
2021-09-01	84169.44429797419	94490.38360674604	104811.32291551789
2021-10-01	84216.36115068616	94537.30045945801	104858.23976822986
2021-11-01	85091.90743374146	95412.84674251331	105733.78605128516
2021-12-01	72483.28852494026	82804.22783371211	93125.16714248396
2022-01-01	76071.04843090013	86391.98773967198	96712.92704844383
2022-02-01	74481.1270471945	84802.06635596635	95123.0056647382
2022-03-01	84551.77577208217	94872.71508085402	105193.65438962587
2022-04-01	82870.08435157672	93191.02366034857	103511.96296912042
2022-05-01	83554.6099934901	93875.54930226195	104196.4886110338
2022-06-01	91273.89739894203	101594.83670771388	111915.77601648573
2022-07-01	88322.72635984224	98643.66566861409	108964.60497738594
2022-08-01	86211.72222313157	96532.66153190342	106853.60084067527
2022-09-01	85860.44283346736	96181.3821422392	106502.32145101106
2022-10-01	86030.96493888588	96351.90424765773	106672.84355642958
2022-11-01	86341.63868027089	96662.57798904274	106983.51729781459
2022-12-01	73918.54450354986	84239.4838123217	94560.42312109355
2023-01-01	76960.02693464399	87280.96624341584	97601.90555218769
2023-02-01	75955.51403759416	86276.453346366	96597.39265513785
2023-03-01	87850.10067707936	98171.03998585121	108491.97929462306
2023-04-01	85340.96475807879	95661.90406685063	105982.84337562248
2023-05-01	84888.08364202152	95209.02295079337	105529.96225956522
2023-06-01	93124.175286111	103445.11459488285	113766.0539036547
2023-07-01	90258.56903011048	100579.50833888233	110900.44764765417
2023-08-01	88029.0590769063	98349.99838567815	108670.93769445
2023-09-01	87620.654706677	97941.59401544885	108262.5333242207
2023-10-01	87661.37189788936	97982.31120666121	108303.25051543306
2023-11-01	87716.3275244045	98037.26683317636	108358.2061419482
2023-12-01	75154.50569960763	85475.44500837948	95796.38431715133
