	lower	Forecast	upper
2021-04-01	7673.905591601558	7688.152667032906	7702.399742464255
2021-05-01	7712.62726529459	7741.123955969289	7769.62064664399
2021-06-01	7610.341762045614	7653.166802135761	7695.991842225909
2021-07-01	7716.20597483613	7773.448257761833	7830.690540687537
2021-08-01	7866.096224279069	7937.801466656383	8009.506709033698
2021-09-01	7903.738630103497	7990.051601216598	8076.3645723297
2021-10-01	7928.948620184164	8030.118221609357	8131.287823034548
2021-11-01	7807.047151224081	7923.370540965724	8039.693930707368
2021-12-01	7830.696616318629	7962.086170862619	8093.475725406607
2022-01-01	7844.014059405842	7990.662804464413	8137.3115495229795
2022-02-01	7888.946163366114	8050.874417435289	8212.802671504462
2022-03-01	7929.152047986712	8106.441085050592	8283.730122114468
2022-04-01	7869.179290343547	8060.796676822873	8252.414063302198
2022-05-01	7781.927330936697	7987.60892638315	8193.2905218296
2022-06-01	7713.441926771931	7934.215085140759	8154.988243509586
2022-07-01	7703.055171012741	7939.257687300356	8175.46020358797
2022-08-01	7732.110513133296	7983.680161945624	8235.24981075795
2022-09-01	7740.7405574925815	8008.114186494154	8275.487815495724
2022-10-01	7753.507294204949	8037.23096297643	8320.954631747909
2022-11-01	7766.06007812683	8066.824615533062	8367.58915293929
2022-12-01	7774.188056618699	8091.484230353061	8408.780404087418
2023-01-01	7783.245066217363	8116.935726431689	8450.626386646009
2023-02-01	7786.941231823773	8136.909547165918	8486.87786250806
2023-03-01	7828.965720753697	8195.460592799966	8561.95546484623
2023-04-01	7829.118878325191	8209.995435838971	8590.87199335275
2023-05-01	7868.528954630676	8263.41892487152	8658.308895112361
2023-06-01	7882.337547813731	8293.307067846154	8704.276587878576
2023-07-01	7863.196366025986	8290.667044642503	8718.137723259017
2023-08-01	7855.15438409594	8299.070345432481	8742.98630676902
2023-09-01	7848.128284659584	8308.98987168076	8769.85145870193
2023-10-01	7870.209318286791	8349.070552973884	8827.931787660973
2023-11-01	7945.380272404268	8443.508520946822	8941.63676948937
2023-12-01	7960.674680671177	8476.758130169594	8992.841579668007
2024-01-01	7951.57901363187	8485.201134917645	9018.823256203414
2024-02-01	7918.552505833633	8469.691710504736	9020.830915175837
2024-03-01	7914.809478341561	8483.707048538286	9052.604618735011
2024-04-01	7926.902518877659	8510.334163262083	9093.765807646505
2024-05-01	7924.0001585190685	8521.36648145846	9118.73280439785
2024-06-01	8010.177006268874	8624.551180286977	9238.925354305076
2024-07-01	8010.0743424061375	8642.03036501565	9273.986387625158
2024-08-01	8047.607039856825	8697.080145851667	9346.553251846508
2024-09-01	8092.983378330357	8760.69741413141	9428.411449932462
2024-10-01	8092.938390626616	8780.427402683748	9467.91641474088
2024-11-01	8113.489747115894	8822.275082818958	9531.060418522022
2024-12-01	8078.656213480128	8806.979053016981	9535.301892553836
2025-01-01	8051.222325652158	8798.709316658347	9546.196307664537
2025-02-01	8001.245934612527	8767.549122843626	9533.852311074728
2025-03-01	8046.110972557297	8831.461480905591	9616.811989253887
2025-04-01	8027.010281101411	8827.104398127658	9627.198515153907
2025-05-01	7988.139109842739	8802.085361533853	9616.03161322497
2025-06-01	8018.436086227349	8850.604219134651	9682.772352041957
2025-07-01	7918.517761182085	8769.512250562311	9620.50673994254
2025-08-01	7871.710318243237	8741.358456880176	9611.006595517121
2025-09-01	7807.517357036019	8696.591247778613	9585.665138521212
2025-10-01	7730.095698426654	8640.592903415332	9551.090108404018
2025-11-01	7721.234617084346	8655.113331373495	9588.992045662651
2025-12-01	7665.968964631533	8620.79477841619	9575.620592200852
