	lower	Forecast	upper
2021-04-01	2081.143668009699	2087.3559394174927	2093.5682108252868
2021-05-01	2118.030380251364	2130.4560305224127	2142.8816807934613
2021-06-01	2088.0075623969237	2106.6809226505147	2125.3542829041057
2021-07-01	2098.6452530064207	2123.605084183684	2148.564915360948
2021-08-01	2151.159889408978	2182.42612570821	2213.6923620074426
2021-09-01	2155.960865561904	2193.596631944375	2231.232398326846
2021-10-01	2108.575061399807	2152.6888885006824	2196.8027156015582
2021-11-01	2121.695629750939	2172.4170898591415	2223.1385499673447
2021-12-01	2108.145261876108	2165.436147778238	2222.7270336803685
2022-01-01	2098.8795463380116	2162.824024649095	2226.7685029601794
2022-02-01	2102.5063779810757	2173.1133083448003	2243.720238708525
2022-03-01	2090.4552591726347	2167.7600801637486	2245.064901154862
2022-04-01	2040.9239409832446	2124.4764719569002	2208.029002930556
2022-05-01	1989.7086411587331	2079.393706746999	2169.0787723352664
2022-06-01	1937.071122147832	2033.3366880846343	2129.602254021437
2022-07-01	1939.735875176804	2042.7292330384394	2145.7225909000745
2022-08-01	1901.5990144542066	2011.2930315818826	2120.987048709559
2022-09-01	1872.985305361553	1989.5704640945412	2106.15562282753
2022-10-01	1867.6963041886763	1991.4107074510653	2115.1251107134544
2022-11-01	1840.9231660970609	1972.0680417742096	2103.212917451358
2022-12-01	1804.910198308912	1943.2635015809144	2081.616804852916
2023-01-01	1791.1308867848481	1936.6328150568165	2082.1347433287847
2023-02-01	1802.0486162476261	1954.6482265683605	2107.2478368890947
2023-03-01	1788.3265195285348	1948.1323425332012	2107.938165537867
2023-04-01	1751.732836561911	1917.809626113798	2083.8864156656846
2023-05-01	1714.8800850005878	1887.0672600578678	2059.2544351151478
2023-06-01	1695.6978275942022	1874.8963031742996	2054.094778754397
2023-07-01	1692.565157355442	1878.9587710648623	2065.3523847742827
2023-08-01	1688.4258788198672	1881.9902666384714	2075.5546544570757
2023-09-01	1688.1901308693027	1889.1434615228834	2090.096792176464
2023-10-01	1667.1977475596027	1875.9996150644245	2084.801482569246
2023-11-01	1637.4485483208186	1854.6515729518594	2071.8545975829
2023-12-01	1621.7302474118958	1846.7624284236122	2071.7946094353283
2024-01-01	1589.4995231571665	1822.1792378539744	2054.8589525507823
2024-02-01	1572.8147251669368	1813.1325601774188	2053.450395187901
2024-03-01	1541.1267596650375	1789.187923257977	2037.249086850917
2024-04-01	1550.1867517580454	1804.585329225858	2058.983906693671
2024-05-01	1555.7486959823623	1816.223327836281	2076.6979596902
2024-06-01	1563.5926523745904	1831.4833597222776	2099.3740670699644
2024-07-01	1579.7224665776375	1855.2795343532512	2130.8366021288653
2024-08-01	1543.4166427688892	1826.611830858177	2109.807018947465
2024-09-01	1545.2094115484122	1836.3583447577244	2127.5072779670368
2024-10-01	1564.7987632669863	1864.570344694693	2164.3419261224
2024-11-01	1547.2386910779596	1856.2962865451268	2165.353882012294
2024-12-01	1512.2270817156234	1829.8037783155928	2147.380474915562
2025-01-01	1524.1730228332672	1850.1060246132902	2176.0390263933127
2025-02-01	1534.4349990638889	1868.572584625825	2202.7101701877605
2025-03-01	1497.9860019672858	1840.428949758075	2182.8718975488637
2025-04-01	1508.5272715275503	1857.3989982687353	2206.2707250099197
2025-05-01	1505.321453384752	1860.2332422095644	2215.145031034376
2025-06-01	1520.143506775538	1883.0007348044185	2245.857962833298
2025-07-01	1532.1198017423399	1903.1860433749769	2274.2522850076134
2025-08-01	1539.1928699792657	1918.3928182443196	2297.592766509373
2025-09-01	1524.8026468219734	1912.4729681795511	2300.143289537128
2025-10-01	1519.7655507039574	1916.7772588740393	2313.7889670441205
2025-11-01	1529.395823786136	1936.6027669290588	2343.809710071981
2025-12-01	1547.6098277497981	1963.9505098063107	2380.2911918628224
