	lower	Forecast	upper
2021-04-01	10353.6353795274	10410.986657026224	10468.337934525047
2021-05-01	10265.52707908984	10380.239858042829	10494.95263699582
2021-06-01	10232.62046825173	10405.01169127453	10577.402914297334
2021-07-01	10323.617189912266	10554.044695441899	10784.472200971533
2021-08-01	10373.558023826079	10662.205843058724	10950.85366229137
2021-09-01	10278.560263184083	10626.011161574314	10973.46205996455
2021-10-01	10032.350441281958	10439.60636645343	10846.862291624906
2021-11-01	10288.02697442459	10756.28412915248	11224.541283880375
2021-12-01	10893.427044702335	11422.332702527296	11951.238360352261
2022-01-01	10853.390527517768	11443.721709045896	12034.052890574032
2022-02-01	10629.853702888526	11281.692199762572	11933.530696636626
2022-03-01	10621.739828188862	11335.412806979813	12049.085785770774
2022-04-01	10397.69060698547	11169.042029846234	11940.393452707007
2022-05-01	10316.519426445793	11144.486002020654	11972.452577595526
2022-06-01	10345.302155627995	11234.019473853363	12122.736792078738
2022-07-01	10280.630178436402	11231.458025372945	12182.2858723095
2022-08-01	10140.44495287479	11153.1328416166	12165.820730358417
2022-09-01	10118.724121782168	11195.030572648306	12271.337023514452
2022-10-01	9958.4953733293	11100.6185367186	12242.74170010791
2022-11-01	10039.059038700283	11249.779830466148	12460.500622232026
2022-12-01	10664.65090628866	11941.919423384741	13219.187940480835
2023-01-01	10562.020329274143	11905.284478111895	13248.548626949661
2023-02-01	10197.199265168294	11605.988743801923	13014.778222435563
2023-03-01	10212.110539267589	11687.427295320747	13162.744051373917
2023-04-01	9976.021245558326	11509.231148743507	13042.4410519287
2023-05-01	9853.370621779042	11442.991198571455	13032.611775363877
2023-06-01	9753.416559357718	11407.76499742922	13062.113435500733
2023-07-01	9592.728104497857	11313.501580435453	13034.27505637306
2023-08-01	9589.756833228545	11376.730420014681	13163.70400680083
2023-09-01	9487.862312847574	11343.050129684898	13198.237946522238
2023-10-01	9179.236176244904	11106.88116460093	13034.526152956973
2023-11-01	9372.195627265752	11377.39954085684	13382.603454447943
2023-12-01	10018.990389623927	12096.472555515207	14173.954721406506
2024-01-01	10076.374724341686	12224.45841385684	14372.542103372014
2024-02-01	9753.193654473904	11971.791963992515	14190.390273511142
2024-03-01	9765.362634409359	12055.446839689053	14345.531044968759
2024-04-01	9795.723293839505	12144.314083571826	14492.90487330416
2024-05-01	9682.047331901027	12086.731852624933	14491.416373348851
2024-06-01	9825.696004923688	12298.845242604697	14771.994480285717
2024-07-01	9626.440100042322	12170.364668588043	14714.289237133778
2024-08-01	9413.35827590684	12027.797464456014	14642.236653005206
2024-09-01	9453.43508865491	12141.30272448041	14829.170360305927
2024-10-01	9434.572754414585	12202.04410654383	14969.515458673088
2024-11-01	9557.90011800717	12411.099335690855	15264.298553374554
2024-12-01	10244.016772144194	13175.863766307011	16107.710760469847
2025-01-01	10273.795579669224	13282.787428875696	16291.779278082184
2025-02-01	9836.094121661596	12920.830144029675	16005.56616639777
2025-03-01	9818.931394370786	12980.34196983672	16141.752545302674
2025-04-01	9708.738263324987	12929.49889955938	16150.259535793792
2025-05-01	9594.621406818424	12871.143495495742	16147.665584173077
2025-06-01	9525.476768195376	12875.350624483945	16225.22448077253
2025-07-01	9383.26642915926	12808.925354430807	16234.584279702372
2025-08-01	9168.032092224412	12668.780857515589	16169.529622806784
2025-09-01	9188.570021190573	12767.516708925774	16346.46339666099
2025-10-01	9235.644635717435	12900.830386774247	16566.016137831077
2025-11-01	9380.517629086327	13139.825113034516	16899.13259698272
2025-12-01	9939.681933084163	13783.311488727075	17626.941044369996
