	lower	Forecast	upper
2021-04-01	205106.77924027437	206108.87667427532	207110.97410827628
2021-05-01	206403.32009856778	208415.15249843957	210436.741925692
2021-06-01	209038.22401731438	212092.1755675393	215175.72720317147
2021-07-01	210556.14047607014	214667.27665526647	218838.323286625
2021-08-01	210776.5870877842	215939.22518065132	221202.53115105932
2021-09-01	207873.78325662104	214019.74343846928	220316.38608469174
2021-10-01	210471.01622083955	217740.46011883282	225224.05842523414
2021-11-01	213794.6456495326	222245.24224649146	230986.67511830045
2021-12-01	222216.76535945787	232086.4675787955	242343.9093335517
2022-01-01	208087.17274283338	218464.18940280724	229304.60676267522
2022-02-01	206826.95765530705	218208.63613070475	230156.8504488549
2022-03-01	205790.0818085235	218180.76066483578	231251.88132329573
2022-04-01	204183.41022468585	217536.96141338427	231692.60363508045
2022-05-01	204589.72054317142	219025.31888409087	234401.96878854375
2022-06-01	206629.09742620576	222276.71354941127	239024.7365307825
2022-07-01	207029.15607249932	223792.34925625386	241821.62657509695
2022-08-01	207145.33655112	225009.95260963766	244317.3143962926
2022-09-01	209310.1432482724	228460.9111414588	249258.1835785752
2022-10-01	212530.34163078302	233093.75313371708	255532.55037122167
2022-11-01	218142.399364848	240391.48532545456	264785.4785084304
2022-12-01	224707.98832230095	248802.44904397527	275344.9904156266
2023-01-01	217291.2062591175	241806.21787049374	268947.91830630915
2023-02-01	215839.98805613024	241372.0976310612	269778.43839278736
2023-03-01	214750.55119978506	241332.97362480333	271052.66892715154
2023-04-01	213072.27810439368	240619.00102000008	271567.14848901966
2023-05-01	208551.8010782058	236681.79037301335	268441.4144225051
2023-06-01	210758.1195738425	240340.3431919462	273900.4758739932
2023-07-01	211162.73230657345	241975.20698438922	277100.94149457925
2023-08-01	211334.59707731396	243353.18884508166	280031.43619778275
2023-09-01	213498.81293062156	247034.13498949923	285635.1944396545
2023-10-01	216834.7883557668	252103.29875054306	292894.59125945705
2023-11-01	222708.42414885326	260168.97970000835	303702.12113045854
2023-12-01	229393.4232019611	269250.783150739	315788.8067596812
2024-01-01	221757.17854457998	261603.0929652794	308361.9801928739
2024-02-01	220305.97562194907	261168.80819131	309356.11678520084
2024-03-01	219185.18868142914	261115.9819429283	310804.79229634476
2024-04-01	217506.86585325253	260384.91132355866	311444.27758242853
2024-05-01	212897.38501325744	256130.38467508997	307866.90305155434
2024-06-01	215133.87969447614	260070.47140517537	314104.6626952981
2024-07-01	215525.09157599162	261813.0614996822	317742.76398036483
2024-08-01	215698.51330541138	263301.58093748905	321100.1005778125
2024-09-01	217916.15249200503	267294.9780668639	327538.8183233684
2024-10-01	221350.3831459157	272815.9262806121	335907.5549453581
2024-11-01	227305.2666738339	281493.4157529356	348239.29981032305
2024-12-01	234146.8852740317	291342.7877080786	362127.2920988233
2025-01-01	226449.09299769293	283188.5215864887	353761.7114638486
2025-02-01	224976.8283220186	282730.52105014765	354917.4254609
2025-03-01	223822.58966798233	282661.09728640516	356564.0233308997
2025-04-01	222142.52797103373	281912.56124115235	357351.9836404212
2025-05-01	217440.7366444183	277313.8491905195	353256.9287567413
2025-06-01	219777.57079009395	281647.2259287708	360500.64412994566
2025-07-01	220189.38361599905	283550.04477385513	364696.25927920785
2025-08-01	220363.43704401754	285158.10905712587	368544.4959695832
2025-09-01	217394.91027743017	282709.5692853829	367180.08579744323
2025-10-01	220285.84809245836	287852.7970626333	375657.22631132236
2025-11-01	223861.51293610584	293936.75263923296	385439.102149377
2025-12-01	235748.71343961908	310982.2707550768	409675.5774547516
