Fechas	renglon	Mes_1	Mes_2	Mes_3	Mes_4	Mes_5	Mes_6	Mes_7	Mes_8	Mes_9	Mes_10	Mes_11	Mes_12	Crisis
01/01/2007	0	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2007	1	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2007	2	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2007	3	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2007	4	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2007	5	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2007	6	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2007	7	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2007	8	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2007	9	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2007	10	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2007	11	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2008	12	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2008	13	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2008	14	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2008	15	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2008	16	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2008	17	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2008	18	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2008	19	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2008	20	0	0	0	0	0	0	0	0	1	0	0	0	1
01/10/2008	21	0	0	0	0	0	0	0	0	0	1	0	0	1
01/11/2008	22	0	0	0	0	0	0	0	0	0	0	1	0	1
01/12/2008	23	0	0	0	0	0	0	0	0	0	0	0	1	1
01/01/2009	24	1	0	0	0	0	0	0	0	0	0	0	0	1
01/02/2009	25	0	1	0	0	0	0	0	0	0	0	0	0	1
01/03/2009	26	0	0	1	0	0	0	0	0	0	0	0	0	1
01/04/2009	27	0	0	0	1	0	0	0	0	0	0	0	0	1
01/05/2009	28	0	0	0	0	1	0	0	0	0	0	0	0	1
01/06/2009	29	0	0	0	0	0	1	0	0	0	0	0	0	1
01/07/2009	30	0	0	0	0	0	0	1	0	0	0	0	0	1
01/08/2009	31	0	0	0	0	0	0	0	1	0	0	0	0	1
01/09/2009	32	0	0	0	0	0	0	0	0	1	0	0	0	1
01/10/2009	33	0	0	0	0	0	0	0	0	0	1	0	0	1
01/11/2009	34	0	0	0	0	0	0	0	0	0	0	1	0	1
01/12/2009	35	0	0	0	0	0	0	0	0	0	0	0	1	1
